C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.2,5.0,550,2.0,1086.51,1.2,True,False,False,False,False,False
74.56,0.0,25.09,0.0,0.22,,,,3.0,2.5,400,1.5,1871.0,1.2,True,False,False,False,False,False
74.56,0.0,25.09,0.0,0.22,,,,2.0,2.5,450,1.5,2015.0,1.2,True,False,False,False,False,False
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.4,5.0,550,2.0,1050.04,1.205,True,False,False,False,False,False
60.12,5.5,26.92,0.83,0.06,62.94,0.78,30.05,1.6,5.0,550,2.0,983.58,1.218,True,False,False,False,False,False
44.9,4.5,29.9,0.0,12.0,,,,2.0,5.0,850,1.0,2001.0,1.307,False,False,True,False,False,False
61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,750,2.0,2713.5,1.31,False,False,True,False,False,False
61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,4.0,10.0,750,2.0,2762.5,1.32,False,False,True,False,False,False
74.56,0.0,25.09,0.0,0.22,,,,3.0,2.5,450,1.0,1869.0,1.39,True,False,False,False,False,False
44.9,4.5,29.9,0.0,12.0,,,,4.0,5.0,850,1.0,1876.0,1.421,False,False,True,False,False,False
74.56,0.0,25.09,0.0,0.22,,,,3.0,2.5,500,2.0,1790.0,1.46,True,False,False,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,2.3,10.0,450,1.0,,1.462,False,False,False,False,False,True
44.9,4.5,29.9,0.0,12.0,,,,3.0,5.0,850,1.0,2235.0,1.512,False,False,True,False,False,False
56.2,6.0,34.2,3.60,0.0,,,,1.0,10.0,900,2.0,2026.0,1.59,False,False,True,False,False,False
47.5,4.9,33.3,0.0,0.1,48.44,15.62,26.11,1.0,,800,2.0,1825.0,1.72,False,False,True,False,False,False
64.4,5.0,29.4,0.0,1.2,59.74,0.1,40.16,2.3,10.0,500,1.0,,1.768,False,False,False,False,False,True
