,C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2,Label_biomass,Label_lignin
122,44.0,5.2,50.38,0.42,0.0,54.38,23.04,22.58,1.0,20.0,450.0,3.0,265.0,0.15,False,False,True,False,False,False,True,False
123,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,0.25,7.0,600.0,1.0,654.0,0.241,False,False,True,False,False,False,True,False
124,39.8,5.5,54.0,0.9,0.0,68.0,14.8,17.5,4.0,10.0,500.0,1.0,370.0,0.25,False,False,True,False,False,False,True,False
125,44.48,6.28,40.49,8.21,0.54,77.5,6.47,16.03,1.0,5.0,800.0,1.0,618.54,0.291,False,False,True,False,False,False,True,False
126,44.48,6.28,40.49,8.21,0.54,77.5,6.47,16.03,1.0,5.0,600.0,1.0,600.05,0.299,False,False,True,False,False,False,True,False
127,44.0,5.2,50.38,0.42,0.0,54.38,23.04,22.58,1.0,20.0,750.0,3.0,589.0,0.33,False,False,True,False,False,False,True,False
128,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,1.0,7.0,600.0,1.0,784.0,0.3465,False,False,True,False,False,False,True,False
129,69.6,7.4,22.4,0.6,0.0,74.46,1.3,21.65,1.0,10.0,700.0,1.0,729.0,0.35,False,False,True,False,False,False,True,False
130,39.8,5.5,54.0,0.9,0.0,68.0,14.8,17.5,4.0,10.0,600.0,1.0,760.0,0.39,False,False,True,False,False,False,True,False
131,39.8,5.5,54.0,0.9,0.0,68.0,14.8,17.5,4.0,10.0,700.0,1.0,770.0,0.41,False,False,True,False,False,False,True,False
132,69.6,7.4,22.4,0.6,0.0,74.46,1.3,21.65,0.5,10.0,700.0,1.0,874.0,0.41,False,False,True,False,False,False,True,False
133,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,1.0,10.0,450.0,1.0,972.0,0.421,False,False,True,False,False,False,True,False
134,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,0.5,10.0,750.0,1.0,1027.0,0.434,False,False,True,False,False,False,True,False
135,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,1.0,10.0,550.0,1.0,1074.0,0.435,False,False,True,False,False,False,True,False
136,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,0.5,7.0,800.0,1.0,1143.0,0.4527,False,False,True,False,False,False,True,False
137,39.8,5.5,54.0,0.9,0.0,68.0,14.8,17.5,4.0,10.0,800.0,1.0,900.0,0.46,False,False,True,False,False,False,True,False
138,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,1.0,7.0,800.0,1.0,1090.0,0.46,False,False,True,False,False,False,True,False
139,69.6,7.4,22.4,0.6,0.0,74.46,1.3,21.65,1.0,10.0,800.0,1.0,948.0,0.47,False,False,True,False,False,False,True,False
140,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,1.0,10.0,650.0,2.0,1108.0,0.517,False,False,True,False,False,False,True,False
141,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,1.0,10.0,650.0,1.0,1154.0,0.519,False,False,True,False,False,False,True,False
142,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,1.0,10.0,650.0,3.0,1183.0,0.52,False,False,True,False,False,False,True,False
143,48.7,6.5,43.7,1.1,0.0,79.56,5.14,15.3,0.25,7.0,800.0,1.0,1222.0,0.5204,False,False,True,False,False,False,True,False
144,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,800.0,2.0,1334.0,0.58,False,False,True,False,False,False,True,False
145,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,1.0,10.0,750.0,1.0,1378.0,0.583,False,False,True,False,False,False,True,False
146,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,800.0,1.0,1339.0,0.595,False,False,True,False,False,False,True,False
147,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,1.5,10.0,750.0,1.0,1491.0,0.612,False,False,True,False,False,False,True,False
148,42.2,6.3,51.18,0.32,0.0,77.74,3.85,18.41,10.5,2.0,700.0,2.0,1305.0,0.613,False,False,True,False,False,False,True,False
149,42.2,6.3,51.18,0.32,0.0,77.74,3.85,18.41,10.5,2.0,400.0,2.0,5.0,0.613,False,False,True,False,False,False,True,False
150,42.2,6.3,51.18,0.32,0.0,77.74,3.85,18.41,10.5,10.0,700.0,2.0,33.0,0.613,False,False,True,False,False,False,True,False
151,42.2,6.3,51.18,0.32,0.0,77.74,3.85,18.41,10.5,10.0,400.0,2.0,26.0,0.613,False,False,True,False,False,False,True,False
152,41.1,5.9,51.95,1.05,0.0,73.64,3.71,22.65,10.5,2.0,700.0,2.0,423.0,0.613,False,False,True,False,False,False,True,False
153,41.1,5.9,51.95,1.05,0.0,73.64,3.71,22.65,10.5,2.0,400.0,2.0,4.0,0.613,False,False,True,False,False,False,True,False
154,41.1,5.9,51.95,1.05,0.0,73.64,3.71,22.65,10.5,10.0,700.0,2.0,315.0,0.613,False,False,True,False,False,False,True,False
155,41.1,5.9,51.95,1.05,0.0,73.64,3.71,22.65,10.5,10.0,400.0,2.0,3.0,0.613,False,False,True,False,False,False,True,False
156,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,900.0,2.0,1462.0,0.665,False,False,True,False,False,False,True,False
157,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,2.0,10.0,750.0,1.0,1562.0,0.668,False,False,True,False,False,False,True,False
158,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,900.0,1.0,1550.0,0.679,False,False,True,False,False,False,True,False
159,59.31,9.78,28.74,2.06,0.11,67.04,0.34,32.62,2.5,10.0,750.0,1.0,1605.0,0.691,False,False,True,False,False,False,True,False
160,81.2,0.0,18.3,0.5,0.0,74.46,3.71,21.65,3.0,10.0,800.0,1.0,1186.0,0.71,False,False,True,False,False,False,True,False
161,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,900.0,3.0,1798.0,0.842,False,False,True,False,False,False,True,False
162,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,800.0,4.0,2431.0,1.033,False,False,True,False,False,False,True,False
163,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,800.0,3.0,2578.0,1.062,False,False,True,False,False,False,True,False
164,49.74,6.06,39.07,1.95,0.18,74.46,3.0,21.65,4.0,8.37,900.0,4.0,3049.0,1.52,False,False,True,False,False,False,True,False
165,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,257.369,0.1458,False,False,True,False,False,False,False,True
